name,combined_description
Эксперт по работе с клиентами малого бизнеса,"Высшее или неоконченное высшее образование. Опыт работы с клиентами банка от 1-го года. Опыт продаж, презентаций и проведения переговоров...

Обзвон потенциальных клиентов и проведение встреч с ЛПР. Продажа банковских продуктов и услуг корпоративным клиентам с годовой выручкой от 5..."
Старший менеджер по развитию отношений с клиентами зарплатного проекта,"Опыт работы в банке не менее года. Умение проводить переговоры на уровне первых лиц компании. Опыт сопровождения и развития портфеля...

Осуществлять сопровождение и развитие закрепленного портфеля зарплатных компаний. Привлекать юридические лица на зарплатные проекты. Организовывать выдачу ЗП карт в компаниях. "
Руководитель универсального дополнительного офиса,"Высшее образование со специализацией в области экономики, финансов, банковского дела. Опыт активных продаж продуктов/услуг обязателен, навыки проведения банковских операций. 

Обеспечивать выполнение плановых показателей офиса. Контролировать текущие результаты работы офиса Банка. Организовывать операционно-кассовую работу. Планировать деятельность сотрудников и офиса..."
Операционный сервис-менеджер,"Среднее специальное или высшее образование. Опыт работы с клиентами в розничной или финансовой сферах. Коммуникабельность. Желание развиваться в банковской сфере.

Поддерживать качество сервиса при работе с клиентами. Консультировать и обслуживать клиентов: помогать с операциями в мобильном приложении или интернет-банке. "
Начальник отдела привлечения клиентов малого бизнеса,"Высшее образование. Развитые управленческие навыки. Опыт ведения переговоров на уровне первых лиц компаний. Опыт работы с корпоративными клиентами в банке...

Организовывать процесс продаж банковских продуктов и услуг малому бизнесу на основе потребностей клиентов. Обеспечивать выполнение ключевых показателей отдела (рко, эквайринг..."
Менеджер по работе с юридическими лицами в филиал банка,"Опыт работы в банковской сфере от 1-го года. Опыт активных продаж. Желание развиваться в малом бизнесе.

Осуществлять обслуживание действующих клиентов - юридических лиц. Совершать холодные и теплые звонки. Осуществлять операционно-кассовую деятельность с клиентами Банка. "
Менеджер по привлечению партнеров (малый бизнес),"Переводить клиентов из статуса «потенциальных» в «действующих»: Звонить потенциальным клиентам, подавшим заявку самостоятельно на сайте банка или через партнёров, знакомимся..."
Менеджер по операционно-сервисным процессам,"Среднее специальное или высшее образование. Опыт работы с клиентами в розничной или финансовой сферах. Коммуникабельность. Желание развиваться в продажах.

Поддерживать качество сервиса при работе с клиентами. Консультировать и обслуживать клиентов: помогать с операциями в мобильном приложении или интернет-банке. "
Менеджер в отделение банка (Академгородок),"Среднее специальное или высшее образование. Опыт работы с клиентами в банке от 1-го года обязателен. Коммуникабельность.

Продавать кредитные, страховые, накопительные и инвестиционные продукты физическим лицам. Консультировать клиентов по работе со счетами и картами. Работать с отчётностью. "
Клиентский менеджер по работе с юридическими лицами (средний бизнес),"Высшее образование. Опыт работы в корпоративном бизнес не менее 2х лет. Знание банковских продуктов для Бизнеса. Опыт ведения переговоров...

Поиск и привлечение клиентов среднего бизнеса (ЮЛ с выручкой от 500 млн в год). Организация/проведение встреч с потенциальными и..."
Клиентский менеджер (B2B),"Высшее образование. Опыт работы в банке не менее полутора лет. Умение проводить переговоры на уровне первых лиц компании. 

Переводить корпоративных клиентов из статуса «потенциальных» в «действующих»: знакомиться с первыми лицами компаний, приходить к ним в офисы для переговоров..."
Заместитель руководителя офиса,"Опыт управления коллективом. Опыт успешных личных продаж. Опыт работы в банковской сфере / отделении Банка обязательно.

Постановка задач и мотивация сотрудников, планирование, контроль, выполнение действующих KPI. Обучение сотрудников, наставничество, оценка результатов работы. Поддержание и контроль динамики..."
Главный менеджер по работе с партнерами (ЦИК),"Опыт работы в ипотечном кредитовании или банковских продажах от 1 года. Успешный опыт работы с B2B-партнёрами (застройщиками...

Проводить/принимать активное участие в массовых активных маркетинговых и отраслевых мероприятиях (семинарах, промоакциях, презентациях, специализированных выставках) для продвижения услуг банка. "
"Ведущий менеджер в отделение банка (ул. Карла Маркса, 5)","Опыт работы с клиентами в банковской или финансовой сферах. Коммуникабельность. Опыт продаж инвестиционных продуктов.

Работать со счетами и картами клиентов. Продавать кредитные, страховые, накопительные и инвестиционные продукты. Поддерживать высокий уровень клиентских впечатлений и философию..."
Альфа-Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (от 2-3 встреч в день). Проводить презентации банковских продуктов для..."
Ведущий менеджер отделения банка (г. Ногинск),"Среднее специальное образование или высшее. Опыт работы с клиентами в розничной или финансовой сфере. Уверенное пользование компьютером. Коммуникабельность.

Ежедневно повышать свою экспертизу в работе с клиентами в качестве универсального менеджера (работа со счетами и картами, продажа кредитных, страховых..."
